id,name,calory,amount,unit,created_at,updated_at
42,Hành lá,27,1,cọng,2012-12-24 07:38:17 UTC,2012-12-24 07:38:17 UTC
43,Bí đỏ,49,100,g,2012-12-24 07:38:17 UTC,2012-12-24 07:38:17 UTC
44,Ớt chuông,7,1,quả,2012-12-24 07:38:17 UTC,2012-12-24 07:38:17 UTC
45,Cà chua,28,1,quả,2012-12-24 07:38:17 UTC,2012-12-24 07:38:17 UTC
46,Cà chua bi,4,1,quả,2012-12-24 07:38:17 UTC,2012-12-24 07:38:17 UTC
47,Cà chua nhỏ,4,1,quả,2012-12-24 07:15:40 UTC,2012-12-24 07:15:40 UTC
48,Cà chua cherry,9,1,quả,2012-12-24 07:15:40 UTC,2012-12-24 07:15:40 UTC
49,Cà tím,15,1,củ,2012-12-24 07:38:17 UTC,2012-12-24 07:38:17 UTC
50,Cà tím,15,1,quả,2012-12-24 07:38:17 UTC,2012-12-24 07:38:17 UTC
51,Bông cải xanh,35,100,g,2012-12-24 07:38:17 UTC,2012-12-24 07:38:17 UTC
52,Bông cải xanh,90,1,bó,2012-12-24 07:38:17 UTC,2012-12-24 07:38:17 UTC
53,Bông cải trắng,32,100,g,2012-12-24 07:38:17 UTC,2012-12-24 07:38:17 UTC
54,Súp lơ xanh,33,100,g,2012-12-24 07:15:40 UTC,2012-12-24 07:15:40 UTC
55,Măng tây xanh,22,100,g,2012-12-24 07:38:17 UTC,2012-12-24 07:38:17 UTC
56,Thìa là,16,100,g,2012-12-24 07:38:17 UTC,2012-12-24 07:38:17 UTC
57,Đậu trạch,135,100,g,2012-12-24 07:38:17 UTC,2012-12-24 07:38:17 UTC
58,Đậu Cove,135,100,g,2012-12-24 07:15:40 UTC,2012-12-24 07:15:40 UTC
59,Đậu bắp,3,1,quả,2012-12-24 07:38:17 UTC,2012-12-24 07:38:17 UTC
60,Bắp trái,180,1,quả,2012-12-24 07:38:17 UTC,2012-12-24 07:38:17 UTC
61,Bắp trái,180,1,trái,2012-12-24 07:38:17 UTC,2012-12-24 07:38:17 UTC
62,Bắp trái,50,1,g,2012-12-24 07:38:17 UTC,2012-12-24 07:38:17 UTC
63,Rong biển,6,8,lá,2012-12-24 07:38:17 UTC,2012-12-24 07:38:17 UTC
64,Rong biển khô,16,8,lá,2012-12-24 07:38:17 UTC,2012-12-24 07:38:17 UTC
65,Rong biển tươi,160,100,g,2012-12-24 07:38:17 UTC,2012-12-24 07:38:17 UTC
66,namafu,160,100,g,2012-12-24 07:38:17 UTC,2012-12-24 07:38:17 UTC
67,kanzefu,380,100,g,2012-12-24 07:38:17 UTC,2012-12-24 07:38:17 UTC
68,itabu,380,100,g,2012-12-24 07:38:17 UTC,2012-12-24 07:38:17 UTC
69,kurumabu,390,100,g,2012-12-24 07:38:17 UTC,2012-12-24 07:38:17 UTC
70,chikuwabu,170,100,g,2012-12-24 07:38:17 UTC,2012-12-24 07:38:17 UTC
71,Đậu phụ,87,1,miếng,2012-12-24 07:38:17 UTC,2012-12-24 07:38:17 UTC
72,Măng khô,60,100,g,2012-12-24 07:38:18 UTC,2012-12-24 07:38:18 UTC
73,Thịt vai bò,316,100,g,2012-12-24 08:06:21 UTC,2012-12-24 08:06:21 UTC
74,Thịt bò,316,100,g,2012-12-24 07:15:40 UTC,2012-12-24 07:15:40 UTC
75,Thịt mông bò,331,100,g,2012-12-24 08:06:21 UTC,2012-12-24 08:06:21 UTC
76,Thịt thăn vai bò,317,100,g,2012-12-24 08:06:21 UTC,2012-12-24 08:06:21 UTC
77,Thịt đùi bò,191,100,g,2012-12-24 08:06:21 UTC,2012-12-24 08:06:21 UTC
78,Thịt bò phi lê,211,100,g,2012-12-24 08:06:21 UTC,2012-12-24 08:06:21 UTC
79,Thịt bò ba rọi,223,100,g,2012-12-24 08:06:21 UTC,2012-12-24 08:06:21 UTC
80,Thịt bò xay nhuyễn,224,100,g,2012-12-24 08:06:21 UTC,2012-12-24 08:06:21 UTC
81,Lưỡi bò,270,100,g,2012-12-24 08:06:21 UTC,2012-12-24 08:06:21 UTC
82,Tim bò,142,100,g,2012-12-24 08:06:21 UTC,2012-12-24 08:06:21 UTC
83,ba chỉ bò,316,100,g,2012-12-24 08:06:21 UTC,2012-12-24 08:06:21 UTC
84,ba chỉ heo,202,100,g,2012-12-24 08:06:21 UTC,2012-12-24 08:06:21 UTC
85,ba chỉ,202,100,g,2012-12-24 08:06:21 UTC,2012-12-24 08:06:21 UTC
86,Thịt mông heo,284,100,g,2012-12-24 08:06:21 UTC,2012-12-24 08:06:21 UTC
87,Đuôi heo,200,100,g,2012-12-24 07:15:40 UTC,2012-12-24 07:15:40 UTC
88,Giò heo,316,100,g,2012-12-24 07:15:40 UTC,2012-12-24 07:15:40 UTC
89,Thịt heo,316,100,g,2012-12-24 07:15:40 UTC,2012-12-24 07:15:40 UTC
90,Lòng heo,200,100,g,2012-12-24 07:15:40 UTC,2012-12-24 07:15:40 UTC
91,Tim heo,210,100,g,2012-12-24 07:15:40 UTC,2012-12-24 07:15:40 UTC
92,Cánh gà,195,100,g,2012-12-24 13:51:03 UTC,2012-12-24 13:51:03 UTC
93,Thịt ức gà,244,100,g,2012-12-24 13:51:03 UTC,2012-12-24 13:51:03 UTC
94,Thịt đùi gà,253,100,g,2012-12-24 13:51:03 UTC,2012-12-24 13:51:03 UTC
95,Phi lê ức gà,114,100,g,2012-12-24 13:51:03 UTC,2012-12-24 13:51:03 UTC
96,Thịt gà xay vụn,166,100,g,2012-12-24 13:51:03 UTC,2012-12-24 13:51:03 UTC
97,Tim gan cật gà,110,100,g,2012-12-24 13:51:03 UTC,2012-12-24 13:51:03 UTC
98,Cật gà,95,100,g,2012-12-24 13:51:03 UTC,2012-12-24 13:51:03 UTC
99,Cá trắm trắng,164,100,g,2012-12-24 13:51:03 UTC,2012-12-24 13:51:03 UTC
100,Cá Hồng biển,194,100,g,2012-12-24 13:51:03 UTC,2012-12-24 13:51:03 UTC
101,Cá bống mú,117,100,g,2012-12-24 13:51:03 UTC,2012-12-24 13:51:03 UTC
102,Cá mú,332,100,g,2012-12-24 13:51:03 UTC,2012-12-24 13:51:03 UTC
103,Cá Chim,217,100,g,2012-12-24 13:51:03 UTC,2012-12-24 13:51:03 UTC
104,Cá basa,206,100,g,2012-12-24 13:51:03 UTC,2012-12-24 13:51:03 UTC
105,Cá đuối,293,100,g,2012-12-24 13:51:03 UTC,2012-12-24 13:51:03 UTC
106,Cá Nhồng,141,100,g,2012-12-24 13:51:03 UTC,2012-12-24 13:51:03 UTC
107,Cá Chình,165,100,g,2012-12-24 13:51:03 UTC,2012-12-24 13:51:03 UTC
108,Cá chép,360,100,g,2012-12-24 13:51:03 UTC,2012-12-24 13:51:03 UTC
109,Đầu cá hồi,145,100,g,2012-12-24 13:51:03 UTC,2012-12-24 13:51:03 UTC
110,Cá quả,143,100,g,2012-12-24 13:51:03 UTC,2012-12-24 13:51:03 UTC
111,Cá hồi,154,100,g,2012-12-24 13:51:03 UTC,2012-12-24 13:51:03 UTC
112,Cá Kình,199,100,g,2012-12-24 13:51:03 UTC,2012-12-24 13:51:03 UTC
113,Cá cờ,257,100,g,2012-12-24 13:51:03 UTC,2012-12-24 13:51:03 UTC
114,Cá rô,265,100,g,2012-12-24 13:51:03 UTC,2012-12-24 13:51:03 UTC
115,Cá nục chuối,291,100,g,2012-12-24 13:51:03 UTC,2012-12-24 13:51:03 UTC
116,Lương,339,100,g,2012-12-24 13:51:03 UTC,2012-12-24 13:51:03 UTC
117,Cá hanh,217,100,g,2012-12-24 13:51:03 UTC,2012-12-24 13:51:03 UTC
118,Cá thu,299,100,g,2012-12-24 13:51:03 UTC,2012-12-24 13:51:03 UTC
119,Cá kèo,177,100,g,2012-12-24 13:51:03 UTC,2012-12-24 13:51:03 UTC
120,Mực lá,98,100,g,2012-12-24 13:51:03 UTC,2012-12-24 13:51:03 UTC
121,Cá Chai,109,100,g,2012-12-24 13:51:03 UTC,2012-12-24 13:51:03 UTC
122,Bạch tuộc baby,246,100,g,2012-12-24 13:51:03 UTC,2012-12-24 13:51:03 UTC
123,Cá sú mì,85,100,g,2012-12-24 13:51:03 UTC,2012-12-24 13:51:03 UTC
124,Hàu,142,100,g,2012-12-24 13:51:03 UTC,2012-12-24 13:51:03 UTC
125,Sò điệp,125,100,g,2012-12-24 13:51:03 UTC,2012-12-24 13:51:03 UTC
126,Cá chìa vôi,344,100,g,2012-12-24 13:51:03 UTC,2012-12-24 13:51:03 UTC
127,Cua thịt,277,100,g,2012-12-24 13:51:03 UTC,2012-12-24 13:51:03 UTC
128,Cá chìa vôi,173,100,g,2012-12-24 13:51:03 UTC,2012-12-24 13:51:03 UTC
129,Cá mú đỏ,317,100,g,2012-12-24 13:51:03 UTC,2012-12-24 13:51:03 UTC
130,Ghẹ xanh,90,100,g,2012-12-24 13:51:03 UTC,2012-12-24 13:51:03 UTC
131,Cá diêu hồng,170,100,g,2012-12-24 13:51:03 UTC,2012-12-24 13:51:03 UTC
132,Cá nhồng,130,100,g,2012-12-24 13:51:03 UTC,2012-12-24 13:51:03 UTC
133,Cua gạch,270,100,g,2012-12-24 13:51:03 UTC,2012-12-24 13:51:04 UTC
134,Sò điệp,260,100,g,2012-12-24 13:51:04 UTC,2012-12-24 13:51:04 UTC
135,Ốc Gai,30,100,g,2012-12-24 13:51:04 UTC,2012-12-24 13:51:04 UTC
136,Cá lóc đồng,73,100,g,2012-12-24 13:51:04 UTC,2012-12-24 13:51:04 UTC
137,Cá trê,273,100,g,2012-12-24 13:51:04 UTC,2012-12-24 13:51:04 UTC
138,Hàu sống,60,100,g,2012-12-24 13:51:04 UTC,2012-12-24 13:51:04 UTC
139,Cá Tầm,97,100,g,2012-12-24 13:51:04 UTC,2012-12-24 13:51:04 UTC
140,Cá bò hòm,51,100,g,2012-12-24 13:51:04 UTC,2012-12-24 13:51:04 UTC
141,Sò lông,77,100,g,2012-12-24 13:51:04 UTC,2012-12-24 13:51:04 UTC
142,Bào Ngư,72,100,g,2012-12-24 13:51:04 UTC,2012-12-24 13:51:04 UTC
143,Ốc hương,97,100,g,2012-12-24 13:51:04 UTC,2012-12-24 13:51:04 UTC
144,Sam biển,73,100,g,2012-12-24 13:51:04 UTC,2012-12-24 13:51:04 UTC
145,Cá nhám,82,100,g,2012-12-24 13:51:04 UTC,2012-12-24 13:51:04 UTC
146,Tôm biển,87,100,g,2012-12-24 13:51:04 UTC,2012-12-24 13:51:04 UTC
147,Tôm hùm,92,100,g,2012-12-24 13:51:04 UTC,2012-12-24 13:51:04 UTC
148,Tôm sú,124,100,g,2012-12-24 13:51:04 UTC,2012-12-24 13:51:04 UTC
149,Tôm càng,95,100,g,2012-12-24 13:51:04 UTC,2012-12-24 13:51:04 UTC
150,Tôm tích,82,100,g,2012-12-24 13:51:04 UTC,2012-12-24 13:51:04 UTC
151,Tôm càng xanh,230,100,g,2012-12-24 13:51:04 UTC,2012-12-24 13:51:04 UTC
152,Ốc Gai,240,100,g,2012-12-24 13:51:04 UTC,2012-12-24 13:51:04 UTC
153,Ghẹ xanh,83,100,g,2012-12-24 13:51:04 UTC,2012-12-24 13:51:04 UTC
154,Cá đỏ,69,100,g,2012-12-24 13:51:04 UTC,2012-12-24 13:51:04 UTC
155,Tu hài,80,100,g,2012-12-24 13:51:04 UTC,2012-12-24 13:51:04 UTC
156,Mực xôi,84,100,g,2012-12-24 13:51:04 UTC,2012-12-24 13:51:04 UTC
157,Mực tươi,88,100,g,2012-12-24 13:51:04 UTC,2012-12-24 13:51:04 UTC
158,Mực mai,104,100,g,2012-12-24 13:51:04 UTC,2012-12-24 13:51:04 UTC
159,Mực Lá,325,100,g,2012-12-24 13:51:04 UTC,2012-12-24 13:51:04 UTC
160,Hải sâm,85,100,g,2012-12-24 13:51:04 UTC,2012-12-24 13:51:04 UTC
161,Tôm he,334,100,g,2012-12-24 13:51:04 UTC,2012-12-24 13:51:04 UTC
162,Mực trứng,279,100,g,2012-12-24 13:51:04 UTC,2012-12-24 13:51:04 UTC
163,Mực nang,206,100,g,2012-12-24 13:51:04 UTC,2012-12-24 13:51:04 UTC
164,Mực ống,115,100,g,2012-12-24 13:51:04 UTC,2012-12-24 13:51:04 UTC
165,Bạch tuột,76,100,g,2012-12-24 13:51:04 UTC,2012-12-24 13:51:04 UTC
166,Bạch tuột luộc,99,100,g,2012-12-24 13:51:04 UTC,2012-12-24 13:51:04 UTC
167,Ghẹ dĩa,90,100,g,2012-12-24 13:51:04 UTC,2012-12-24 13:51:04 UTC
168,Sò dương,96,100,g,2012-12-24 13:51:04 UTC,2012-12-24 13:51:04 UTC
169,Cá đường,122,100,g,2012-12-24 13:51:04 UTC,2012-12-24 13:51:04 UTC
170,Cá bống tượng,126,100,g,2012-12-24 13:51:04 UTC,2012-12-24 13:51:04 UTC
171,Cá bống tượng,114,100,g,2012-12-24 13:51:04 UTC,2012-12-24 13:51:04 UTC
172,Cá khoai,139,100,g,2012-12-24 13:51:04 UTC,2012-12-24 13:51:04 UTC
173,Cá vược,160,100,g,2012-12-24 13:51:04 UTC,2012-12-24 13:51:04 UTC
174,Cá mòi,160,100,g,2012-12-24 13:51:04 UTC,2012-12-24 13:51:04 UTC
